,full_name,id,url,stars
79,mishoo/UglifyJS,5569059,https://api.github.com/repos/mishoo/UglifyJS,12088
80,date-fns/date-fns,24841635,https://api.github.com/repos/date-fns/date-fns,28999
81,babel/babel-preset-env,65648767,https://api.github.com/repos/babel/babel-preset-env,3535
82,kriskowal/q,887025,https://api.github.com/repos/kriskowal/q,14953
83,terser/terser,29097127,https://api.github.com/repos/terser/terser,7110
84,jashkenas/underscore,349241,https://api.github.com/repos/jashkenas/underscore,26456
85,nodejs/readable-stream,5187096,https://api.github.com/repos/nodejs/readable-stream,923
86,ant-design/ant-design,34526884,https://api.github.com/repos/ant-design/ant-design,80778
87,jsx-eslint/eslint-plugin-jsx-a11y,51954402,https://api.github.com/repos/jsx-eslint/eslint-plugin-jsx-a11y,2825
88,jasmine/jasmine,84009,https://api.github.com/repos/jasmine/jasmine,15375
89,nodejs/nan,11545928,https://api.github.com/repos/nodejs/nan,3073
90,storybookjs/storybook,54173593,https://api.github.com/repos/storybookjs/storybook,71786
91,mongodb/node-mongodb-native,462292,https://api.github.com/repos/mongodb/node-mongodb-native,9449
92,babel/babel-eslint,31404632,https://api.github.com/repos/babel/babel-eslint,2971
93,immutable-js/immutable-js,21413198,https://api.github.com/repos/immutable-js/immutable-js,32067
94,sindresorhus/camelcase,25116836,https://api.github.com/repos/sindresorhus/camelcase,576
95,npm/node-semver,1357199,https://api.github.com/repos/npm/node-semver,4212
96,mui/material-ui,23083156,https://api.github.com/repos/mui/material-ui,79226
97,sindresorhus/del,21078071,https://api.github.com/repos/sindresorhus/del,1243
98,sindresorhus/got,18193978,https://api.github.com/repos/sindresorhus/got,11536
99,browserify/resolve,1915099,https://api.github.com/repos/browserify/resolve,693
100,puppeteer/puppeteer,90796663,https://api.github.com/repos/puppeteer/puppeteer,78578
101,jquery/jquery,167174,https://api.github.com/repos/jquery/jquery,56371
102,markedjs/marked,2096579,https://api.github.com/repos/markedjs/marked,27759
103,highlightjs/highlight.js,1213225,https://api.github.com/repos/highlightjs/highlight.js,20118
104,nickmerwin/node-coveralls,8790144,https://api.github.com/repos/nickmerwin/node-coveralls,1049
105,tj/co,10518659,https://api.github.com/repos/tj/co,11734
106,mde/ejs,28671602,https://api.github.com/repos/mde/ejs,6383
107,nodeca/js-yaml,2504175,https://api.github.com/repos/nodeca/js-yaml,5539
108,winstonjs/winston,1206546,https://api.github.com/repos/winstonjs/winston,19006
109,socketio/socket.io-client,557977,https://api.github.com/repos/socketio/socket.io-client,9812
110,standard/standard,29891188,https://api.github.com/repos/standard/standard,27115
111,webpack-contrib/url-loader,4317511,https://api.github.com/repos/webpack-contrib/url-loader,1387
112,uuidjs/uuid,1203139,https://api.github.com/repos/uuidjs/uuid,12353
113,isaacs/minimatch,2056549,https://api.github.com/repos/isaacs/minimatch,2681
114,facebook/react-native,29028775,https://api.github.com/repos/facebook/react-native,103360
115,istanbuljs/nyc,35312458,https://api.github.com/repos/istanbuljs/nyc,5040
116,sindresorhus/ora,53072654,https://api.github.com/repos/sindresorhus/ora,7751
117,node-fetch/node-fetch,29849956,https://api.github.com/repos/node-fetch/node-fetch,7678
118,expressjs/serve-static,17464338,https://api.github.com/repos/expressjs/serve-static,1292
119,avajs/ava,26820798,https://api.github.com/repos/avajs/ava,19842
120,angular/angular-cli,36891867,https://api.github.com/repos/angular/angular-cli,25444
121,webpack-contrib/mini-css-extract-plugin,123254500,https://api.github.com/repos/webpack-contrib/mini-css-extract-plugin,4472
122,prettier/eslint-plugin-prettier,80084817,https://api.github.com/repos/prettier/eslint-plugin-prettier,2448
123,electron/electron,9384267,https://api.github.com/repos/electron/electron,102216
124,mikaelbr/node-notifier,6965529,https://api.github.com/repos/mikaelbr/node-notifier,5420
125,webpack/webpack-dev-middleware,5347074,https://api.github.com/repos/webpack/webpack-dev-middleware,2385
126,BrowserSync/browser-sync,13527761,https://api.github.com/repos/BrowserSync/browser-sync,11728
127,petkaantonov/bluebird,12670444,https://api.github.com/repos/petkaantonov/bluebird,20067
128,webpack-contrib/file-loader,4253587,https://api.github.com/repos/webpack-contrib/file-loader,1853
129,sindresorhus/query-string,14375002,https://api.github.com/repos/sindresorhus/query-string,5963
130,ElemeFE/element,67274736,https://api.github.com/repos/ElemeFE/element,52257
131,sindresorhus/globby,21069494,https://api.github.com/repos/sindresorhus/globby,2058
132,gotwarlost/istanbul,5775917,https://api.github.com/repos/gotwarlost/istanbul,8527
133,brianc/node-postgres,991475,https://api.github.com/repos/brianc/node-postgres,10458
134,enzymejs/enzyme,45942274,https://api.github.com/repos/enzymejs/enzyme,19891
135,react-bootstrap/react-bootstrap,15480067,https://api.github.com/repos/react-bootstrap/react-bootstrap,20840
136,Qix-/color,1939300,https://api.github.com/repos/Qix-/color,4320
137,pvorb/clone,2317381,https://api.github.com/repos/pvorb/clone,721
138,TypeStrong/ts-loader,29561893,https://api.github.com/repos/TypeStrong/ts-loader,3231
139,visionmedia/supertest,4813464,https://api.github.com/repos/visionmedia/supertest,12166
140,css/csso,1369824,https://api.github.com/repos/css/csso,3556
141,stefanpenner/es6-promise,15046172,https://api.github.com/repos/stefanpenner/es6-promise,7284
142,nodemailer/nodemailer,1272424,https://api.github.com/repos/nodemailer/nodemailer,14807
143,motdotla/dotenv,11205780,https://api.github.com/repos/motdotla/dotenv,15535
144,justmoon/node-extend,3967764,https://api.github.com/repos/justmoon/node-extend,335
145,sideway/joi,5830987,https://api.github.com/repos/sideway/joi,18824
146,sindresorhus/meow,25121561,https://api.github.com/repos/sindresorhus/meow,2985
147,vuejs/vue-loader,24700171,https://api.github.com/repos/vuejs/vue-loader,4832
148,npm/cli,139910229,https://api.github.com/repos/npm/cli,6014
149,bripkens/connect-history-api-fallback,10140491,https://api.github.com/repos/bripkens/connect-history-api-fallback,1682
150,remy/nodemon,958314,https://api.github.com/repos/remy/nodemon,24080
151,vuejs/vue-cli,48626335,https://api.github.com/repos/vuejs/vue-cli,29329
152,angular/components,49016322,https://api.github.com/repos/angular/components,22760
153,sequelize/sequelize,790359,https://api.github.com/repos/sequelize/sequelize,26318
154,webpack/loader-utils,6503675,https://api.github.com/repos/webpack/loader-utils,703
155,log4js-node/log4js-node,475599,https://api.github.com/repos/log4js-node/log4js-node,5383
156,MikeMcl/big.js,6584365,https://api.github.com/repos/MikeMcl/big.js,3991
157,mysticatea/eslint-plugin-node,46702870,https://api.github.com/repos/mysticatea/eslint-plugin-node,869
158,tapjs/node-tap,1507818,https://api.github.com/repos/tapjs/node-tap,2037
159,vuejs/eslint-plugin-vue,66855798,https://api.github.com/repos/vuejs/eslint-plugin-vue,3791
160,browserify/events,1649251,https://api.github.com/repos/browserify/events,1203
161,expressjs/session,16875250,https://api.github.com/repos/expressjs/session,5734
162,form-data/form-data,1755793,https://api.github.com/repos/form-data/form-data,2042
163,karma-runner/karma-jasmine,7987180,https://api.github.com/repos/karma-runner/karma-jasmine,535
164,expressjs/cors,7929498,https://api.github.com/repos/expressjs/cors,5430
165,jshint/jshint,1272666,https://api.github.com/repos/jshint/jshint,8746
166,stylelint/stylelint,27549019,https://api.github.com/repos/stylelint/stylelint,9704
167,GoogleChrome/workbox,55424670,https://api.github.com/repos/GoogleChrome/workbox,10827
168,webpack-contrib/copy-webpack-plugin,45010048,https://api.github.com/repos/webpack-contrib/copy-webpack-plugin,2721
169,clean-css/clean-css,1419138,https://api.github.com/repos/clean-css/clean-css,3937
170,conventional-changelog/standard-version,55387233,https://api.github.com/repos/conventional-changelog/standard-version,6455
171,styled-components/styled-components,65794292,https://api.github.com/repos/styled-components/styled-components,36811
172,JedWatson/react-select,23338716,https://api.github.com/repos/JedWatson/react-select,24745
173,dominictarr/through,4885140,https://api.github.com/repos/dominictarr/through,672
174,vuejs/vuex,39176269,https://api.github.com/repos/vuejs/vuex,27625
175,MikeMcl/bignumber.js,6602323,https://api.github.com/repos/MikeMcl/bignumber.js,5576
176,then/promise,7297261,https://api.github.com/repos/then/promise,2453
177,kpdecker/jsdiff,1542219,https://api.github.com/repos/kpdecker/jsdiff,6413
178,emberjs/ember.js,1801829,https://api.github.com/repos/emberjs/ember.js,22202
179,fb55/htmlparser2,2279062,https://api.github.com/repos/fb55/htmlparser2,3550
180,zertosh/invariant,24401110,https://api.github.com/repos/zertosh/invariant,1122
181,webpack-contrib/extract-text-webpack-plugin,16297741,https://api.github.com/repos/webpack-contrib/extract-text-webpack-plugin,4052
182,jsdom/jsdom,478584,https://api.github.com/repos/jsdom/jsdom,17512
183,vercel/next.js,70107786,https://api.github.com/repos/vercel/next.js,88346
184,markdown-it/markdown-it,28249537,https://api.github.com/repos/markdown-it/markdown-it,13636
185,necolas/normalize.css,1700621,https://api.github.com/repos/necolas/normalize.css,47862
186,facebook/regenerator,13346571,https://api.github.com/repos/facebook/regenerator,3658
187,redis/node-redis,908893,https://api.github.com/repos/redis/node-redis,15262
188,visionmedia/superagent,1607357,https://api.github.com/repos/visionmedia/superagent,16049
189,broofa/mime,534940,https://api.github.com/repos/broofa/mime,1830
190,FortAwesome/Font-Awesome,3470471,https://api.github.com/repos/FortAwesome/Font-Awesome,69544
191,fsevents/fsevents,1402936,https://api.github.com/repos/fsevents/fsevents,533
192,ember-cli/ember-cli,14089735,https://api.github.com/repos/ember-cli/ember-cli,3309
193,lerna/lerna,47394776,https://api.github.com/repos/lerna/lerna,32926
194,github/fetch,25136308,https://api.github.com/repos/github/fetch,25343
195,Automattic/mongoose,597879,https://api.github.com/repos/Automattic/mongoose,24447
196,JedWatson/classnames,26195776,https://api.github.com/repos/JedWatson/classnames,15432
197,d3/d3,943149,https://api.github.com/repos/d3/d3,101588
198,validatorjs/validator.js,965782,https://api.github.com/repos/validatorjs/validator.js,19713
199,systemjs/systemjs,10064545,https://api.github.com/repos/systemjs/systemjs,12168
200,standard/eslint-plugin-standard,39534043,https://api.github.com/repos/standard/eslint-plugin-standard,123
201,rvagg/through2,11808187,https://api.github.com/repos/rvagg/through2,1869
202,sindresorhus/object-assign,16457190,https://api.github.com/repos/sindresorhus/object-assign,906
203,PrismJS/prism,4979467,https://api.github.com/repos/PrismJS/prism,10369
204,webpack-contrib/terser-webpack-plugin,143057914,https://api.github.com/repos/webpack-contrib/terser-webpack-plugin,1771
205,visionmedia/node-progress,1643317,https://api.github.com/repos/visionmedia/node-progress,2770
206,reduxjs/react-redux,38934449,https://api.github.com/repos/reduxjs/react-redux,22182
